ppm,Lip 1,Lip 2,Lip 3,Lip 4,Lip 5,Lip 6,Lip 7,Lip 8,Lip 9,Lip10,Lip11,Lip12,Lip13,Lip14,Lip15,Lip16,Lip17,Lip18,Lip19,Lip20,Lip21,Lip22,Lip23,Lip24,Lip25,Lip26,Lip27,Lip28,Lip29,Lip30,Lip31,Lip32,Lip33,Lip34,Lip35,Lip36,Lip37,Lip38,Lip39,Lip40
9.407271338,485033.0513,1405494.654,1302171.927,933859.284,1381501.757,1102257.252,5221800.097,2118092.174,2636981.436,887999.9304,204277.7139,1434676.211,936562.3196,1753574.799,1030188.554,1069305.943,1339844.445,989714.0822,3713394.956,2502795.215,103105.1039,534863.4821,949496.9138,767904.1476,3403436.557,1426592.4,1398826.748,1154344.603,1331306.648,2198324.901,1510063.309,954821.5686,2497152.696,668758.0694,1262472.265,1152933.538,775600.9803,1736508.811,1127437.242,1365108.355
9.409827327,410659.8952,1252771.025,1039723.29,694607.6845,1067109.868,963201.0402,5052184.315,2112313.383,2743644.449,1029280.751,526085.8343,1823150.831,1046632.624,1727303.455,1494755.266,1328413.243,839019.1773,730995.5294,3808369.459,2484090.391,245841.4791,635108.6197,562739.0397,722686.2839,3943286.331,1569539.309,1497476.984,1066872.957,1330279.668,2031449.477,1626709.887,785261.1625,2342662.042,766511.2113,1523908.229,1018658.089,675936.7406,1827030.38,1377728.816,1412919.66
9.412383316,663999.9103,1073857.777,976694.5211,1001363.768,1552328.927,1136283.901,5473989.104,1842736.784,2183069.224,1336352.304,701162.4743,1587040.855,992832.4844,1619347.119,995717.2454,1664820.42,1110651.495,774444.9357,3759206,2519139.992,401348.2596,711322.0244,997865.6348,552561.8034,3715367.51,1712486.615,1922720.793,1273225.052,930625.7468,1728488.054,1536287.22,1035821.811,2362728.388,912092.3993,1264653.74,1246530.278,504907.4762,1872898.468,1215003.199,1125947.979
9.414939305,193546.0304,1161572.416,1424990.554,880488.1042,1578295.329,1061230.423,4907095.475,2157027.771,2751802.706,883569.9927,411791.7315,1611780.363,985836.79,1517089.309,1045583.111,1365813.972,1073080.809,1026577.852,3617191.363,2696574.111,510227.1951,646433.4397,725248.8691,615648.8361,3228986.614,1877822.49,1668511.136,847975.1332,1261157.571,1759528.849,1447795.26,972828.6576,2383235.779,758571.9001,1072498.466,1054853.828,973251.0018,1854088.535,1161489.257,1248874.019
9.417495294,212047.466,1335011.843,1191222.705,1142083.472,1439506.169,895431.1007,5042136.77,1906353.202,2504432.041,1511900.464,611846.8452,1897229.589,1249318.296,1509993.17,1350684.684,1422302.033,1082236.885,949317.1081,3933538.133,2749047.277,143937.6067,505945.301,847374.8675,720735.1343,3474229.289,1787539.11,1812980.091,833274.9949,1000374.706,1935808.545,1357275.003,1080284.79,2347076.25,1080064.484,1163131.538,981097.1052,647936.4422,1475252.911,788478.3633,1183883.92
9.420051283,344115.2545,1329849.946,1182431.435,850032.139,996293.6155,1016446.886,5405376.462,1999243.107,2723400.002,947699.8931,664548.4406,1763917.478,1441019.806,1379274.85,1041274.341,960583.6345,758500.9309,541786.2363,3858248.501,2878267.134,156383.9131,438622.6498,493988.085,798970.9684,3424453.894,1564153.841,1418683.895,967564.5269,983471.6421,2028301.732,1411143.584,529048.9311,2378104.659,1066048.287,1143517.991,936441.7954,523526.8324,1891859.116,999904.1491,1615329.388
9.422607272,246298.2806,1159144.747,831554.3505,841959.1193,1222326.551,1015788.377,5009608.007,2051300.354,2557909.51,955727.7903,707210.9947,2031254.312,823796.5054,1549174.786,1264857.417,1435450.796,1006534.465,978193.1207,3755728.194,2393708.689,328165.9817,694957.8574,709257.819,701894.3675,3801663.082,1747188.412,1673351.247,1096670.957,1289352.808,1747215.516,1412841.263,908539.928,2365266.066,630376.2516,1173238.637,1276509.361,380700.307,1759743.593,1312019.389,1095058.173
9.425163261,338080.1537,1370477.792,833366.8015,892109.7423,1455896.42,1089485.939,5334772.79,2033589.399,2789155.753,1213336.942,798513.1944,1646099.006,1119704.689,1732409.367,1146663.27,803930.4459,706842.3405,887123.4866,3953215.678,2473519.716,185941.9724,611863.0473,872990.2922,535117.9476,3565698.609,1578330.3,1535829.987,755512.9583,1047006.827,2072024.872,1303547.472,1077099.573,2251952.869,932770.8277,1022581.71,886367.8624,932119.4159,1511169.213,1224013.799,1075858.9
9.42771925,118117.0827,1314192.885,1103104.338,944382.3389,1439664.978,1209207.835,5149053.943,1824176.03,2458955.683,1589670.996,445878.871,1789870.031,1097728.728,1431582.239,958110.8258,1213755.094,1325068.291,914595.5655,3467802.088,2540083.655,69936.43889,377961.0031,554576.5834,390928.4609,3486408.521,1859063.875,1880959.622,1076448.713,1330172.883,1965831.045,1350602.884,1015204.036,2202845.711,858956.3723,1333805.663,1231645.31,536938.5549,1530826.31,1247282.868,869272.024
9.430275239,411886.1682,1362186.688,1161531.919,1010140.785,1651415.626,1065131.365,5026748.142,1903205.039,2871429.089,1199807.865,391674.5795,1694100.617,1220046.001,1622450.914,1350880.796,1106820.196,1210525.293,607546.1842,3749625.511,2495787.209,229100.7415,556078.7779,867176.9774,458554.3371,3482532.838,1435834.39,1790527.501,1100573.075,1055585.347,1974075.871,1547328.937,748198.6411,2375464.382,601143.9325,1115599.93,1061778.99,399363.3851,1761645.756,1198302.556,1140863.471
